A.L.E: Arcade Learning Environment (version 0.8.1+53f58b7)
[Powered by Stella]
gpu count: 1
Total number of parameters:  1639684
Episode 75, Reward: 0.0, Mean Loss: 0.02295328530823606, Number of Steps: 122
Episode 76, Reward: 0.0, Mean Loss: 0.023403337469599286, Number of Steps: 122
Episode 77, Reward: 0.0, Mean Loss: 0.022827237897188036, Number of Steps: 122
Episode 78, Reward: 0.0, Mean Loss: 0.02317555271984616, Number of Steps: 122
Episode 79, Reward: 0.0, Mean Loss: 0.02319320274832311, Number of Steps: 122
Episode 80, Reward: 0.0, Mean Loss: 0.023081606505181044, Number of Steps: 122
Episode 81, Reward: 0.0, Mean Loss: 0.02317629614081539, Number of Steps: 122
Episode 82, Reward: 0.0, Mean Loss: 0.022994107482086516, Number of Steps: 122
Episode 83, Reward: 0.0, Mean Loss: 0.02319686610984509, Number of Steps: 122
Episode 84, Reward: 0.0, Mean Loss: 0.02327375889557307, Number of Steps: 122
Episode 85, Reward: 0.0, Mean Loss: 0.02299908853110239, Number of Steps: 122
Episode 86, Reward: 0.0, Mean Loss: 0.023221735021535527, Number of Steps: 122
Episode 87, Reward: 0.0, Mean Loss: 0.022841381560700952, Number of Steps: 122
Episode 88, Reward: 0.0, Mean Loss: 0.023526092395797126, Number of Steps: 122
Episode 89, Reward: 0.0, Mean Loss: 0.023363234627930843, Number of Steps: 122
Episode 90, Reward: 0.0, Mean Loss: 0.023445490533944038, Number of Steps: 122
Episode 91, Reward: 0.0, Mean Loss: 0.022699052722600754, Number of Steps: 122
Episode 92, Reward: 0.0, Mean Loss: 0.023343540102121283, Number of Steps: 122
Episode 93, Reward: 0.0, Mean Loss: 0.02340719039689322, Number of Steps: 122
Episode 94, Reward: 0.0, Mean Loss: 0.023263616628251153, Number of Steps: 122
Episode 95, Reward: 0.0, Mean Loss: 0.023423306124865033, Number of Steps: 122
Episode 96, Reward: 0.0, Mean Loss: 0.023368658497929573, Number of Steps: 122
Episode 97, Reward: 0.0, Mean Loss: 0.023174897084021217, Number of Steps: 122
Episode 98, Reward: 0.0, Mean Loss: 0.023142336608200777, Number of Steps: 122
Episode 99, Reward: 0.0, Mean Loss: 0.023181843651161858, Number of Steps: 122
Episode 100, Reward: 0.0, Mean Loss: 0.023009681394066065, Number of Steps: 122
Episode 101, Reward: 0.0, Mean Loss: 0.022789342259486266, Number of Steps: 122
Episode 102, Reward: 0.0, Mean Loss: 0.022985418547817018, Number of Steps: 122
Episode 103, Reward: 0.0, Mean Loss: 0.023211123574464046, Number of Steps: 122
Episode 104, Reward: 0.0, Mean Loss: 0.02333415046212126, Number of Steps: 122
Episode 105, Reward: 0.0, Mean Loss: 0.02315165106227171, Number of Steps: 122
Episode 106, Reward: 0.0, Mean Loss: 0.023453880513667084, Number of Steps: 122
Episode 107, Reward: 0.0, Mean Loss: 0.02294616030885067, Number of Steps: 122
Episode 108, Reward: 0.0, Mean Loss: 0.023020124466771062, Number of Steps: 122
Episode 109, Reward: 0.0, Mean Loss: 0.022930898771623194, Number of Steps: 122
Episode 110, Reward: 0.0, Mean Loss: 0.023132124403539327, Number of Steps: 122
Episode 111, Reward: 0.0, Mean Loss: 0.023307968053172846, Number of Steps: 122
Episode 112, Reward: 0.0, Mean Loss: 0.0233060156533611, Number of Steps: 122
Episode 113, Reward: 0.0, Mean Loss: 0.023145783616260428, Number of Steps: 122
Episode 114, Reward: 0.0, Mean Loss: 0.023418051663969385, Number of Steps: 122
Episode 115, Reward: 0.0, Mean Loss: 0.023051959267444334, Number of Steps: 122
Episode 116, Reward: 0.0, Mean Loss: 0.023037735016736942, Number of Steps: 122
Episode 117, Reward: 0.0, Mean Loss: 0.023196992941117715, Number of Steps: 122
Episode 118, Reward: 0.0, Mean Loss: 0.023393537727047185, Number of Steps: 122
Episode 119, Reward: 0.0, Mean Loss: 0.023043388672212145, Number of Steps: 122
Episode 120, Reward: 0.0, Mean Loss: 0.023446850661860138, Number of Steps: 122
Episode 121, Reward: 0.0, Mean Loss: 0.023096165180489705, Number of Steps: 122
Episode 122, Reward: 0.0, Mean Loss: 0.023442836142465718, Number of Steps: 122
Episode 123, Reward: 0.0, Mean Loss: 0.02327607907965535, Number of Steps: 122
Episode 124, Reward: 0.0, Mean Loss: 0.022730025503718578, Number of Steps: 122
Episode 125, Reward: 0.0, Mean Loss: 0.023176733056702613, Number of Steps: 122
Episode 126, Reward: 0.0, Mean Loss: 0.023204503275576185, Number of Steps: 122
Episode 127, Reward: 0.0, Mean Loss: 0.022842717012743558, Number of Steps: 122
Episode 128, Reward: 0.0, Mean Loss: 0.023124849289816948, Number of Steps: 122
Episode 129, Reward: 0.0, Mean Loss: 0.02330963968558878, Number of Steps: 122
Episode 130, Reward: 0.0, Mean Loss: 0.02281227892111571, Number of Steps: 122
Episode 131, Reward: 0.0, Mean Loss: 0.023247308543998726, Number of Steps: 122
Episode 132, Reward: 0.0, Mean Loss: 0.023372261189535014, Number of Steps: 122
Episode 133, Reward: 0.0, Mean Loss: 0.02305482007664739, Number of Steps: 122
Episode 134, Reward: 0.0, Mean Loss: 0.0233186096197269, Number of Steps: 122
Episode 135, Reward: 0.0, Mean Loss: 0.023062808610538027, Number of Steps: 122
Episode 136, Reward: 0.0, Mean Loss: 0.023443038560083656, Number of Steps: 122
Episode 137, Reward: 0.0, Mean Loss: 0.022874478425603497, Number of Steps: 122
Episode 138, Reward: 0.0, Mean Loss: 0.023280754456388168, Number of Steps: 122
Episode 139, Reward: 0.0, Mean Loss: 0.02273360379772608, Number of Steps: 122
Episode 140, Reward: 0.0, Mean Loss: 0.023039586036337243, Number of Steps: 122
Episode 141, Reward: 0.0, Mean Loss: 0.02318826162057822, Number of Steps: 122
Episode 142, Reward: 0.0, Mean Loss: 0.02348308782780268, Number of Steps: 122
Episode 143, Reward: 0.0, Mean Loss: 0.022763611789726936, Number of Steps: 122
Episode 144, Reward: 0.0, Mean Loss: 0.023203079744846155, Number of Steps: 122
Episode 145, Reward: 0.0, Mean Loss: 0.022781512859615223, Number of Steps: 122
Episode 146, Reward: 0.0, Mean Loss: 0.023357744026785053, Number of Steps: 122
Episode 147, Reward: 0.0, Mean Loss: 0.023151784268475986, Number of Steps: 122
Episode 148, Reward: 0.0, Mean Loss: 0.022974474835791625, Number of Steps: 122
Episode 149, Reward: 0.0, Mean Loss: 0.023228236126401423, Number of Steps: 122
Episode 150, Reward: 0.0, Mean Loss: 0.022826471162619277, Number of Steps: 122
Episode 151, Reward: 0.0, Mean Loss: 0.0224901961881217, Number of Steps: 122
Episode 152, Reward: 0.0, Mean Loss: 0.02320386339589709, Number of Steps: 122
Episode 153, Reward: 0.0, Mean Loss: 0.022910035466517657, Number of Steps: 122
Episode 154, Reward: 0.0, Mean Loss: 0.023346699560519126, Number of Steps: 122
Episode 155, Reward: 0.0, Mean Loss: 0.023245601044570813, Number of Steps: 122
Episode 156, Reward: 0.0, Mean Loss: 0.023287929441840924, Number of Steps: 122
Episode 157, Reward: 0.0, Mean Loss: 0.023306120568733723, Number of Steps: 122
Episode 158, Reward: 0.0, Mean Loss: 0.02309132415393833, Number of Steps: 122
Episode 159, Reward: 0.0, Mean Loss: 0.02314396372380319, Number of Steps: 122
Episode 160, Reward: 0.0, Mean Loss: 0.02331693887283079, Number of Steps: 122
Episode 161, Reward: 0.0, Mean Loss: 0.023284059598064812, Number of Steps: 122
Episode 162, Reward: 0.0, Mean Loss: 0.023297435313951773, Number of Steps: 122
Episode 163, Reward: 0.0, Mean Loss: 0.02254694474137724, Number of Steps: 122
Episode 164, Reward: 0.0, Mean Loss: 0.023279795041460483, Number of Steps: 122
Episode 165, Reward: 0.0, Mean Loss: 0.023216728029436754, Number of Steps: 122
Episode 166, Reward: 0.0, Mean Loss: 0.023465737730997506, Number of Steps: 122
Episode 167, Reward: 0.0, Mean Loss: 0.023203892037883155, Number of Steps: 122
Episode 168, Reward: 0.0, Mean Loss: 0.022759810695877934, Number of Steps: 122
Episode 169, Reward: 0.0, Mean Loss: 0.02316960454577309, Number of Steps: 122
Episode 170, Reward: 0.0, Mean Loss: 0.023176055157282313, Number of Steps: 122
Episode 171, Reward: 0.0, Mean Loss: 0.023299136935360155, Number of Steps: 122
Episode 172, Reward: 0.0, Mean Loss: 0.023214480171355106, Number of Steps: 122
Episode 173, Reward: 0.0, Mean Loss: 0.023100577176144905, Number of Steps: 122
Episode 174, Reward: 0.0, Mean Loss: 0.022881849251804896, Number of Steps: 122
Episode 175, Reward: 0.0, Mean Loss: 0.02325606340369244, Number of Steps: 122
Episode 176, Reward: 0.0, Mean Loss: 0.02283981881322927, Number of Steps: 122
Episode 177, Reward: 0.0, Mean Loss: 0.023319061769203085, Number of Steps: 122
Episode 178, Reward: 0.0, Mean Loss: 0.022769554360596973, Number of Steps: 122
Episode 179, Reward: 0.0, Mean Loss: 0.0231291528856315, Number of Steps: 122
Episode 180, Reward: 0.0, Mean Loss: 0.023121563018873127, Number of Steps: 122
Episode 181, Reward: 0.0, Mean Loss: 0.02328643693429668, Number of Steps: 123
Episode 182, Reward: 0.0, Mean Loss: 0.023034263817907394, Number of Steps: 122
Episode 183, Reward: 0.0, Mean Loss: 0.023280608101335705, Number of Steps: 122
Episode 184, Reward: 0.0, Mean Loss: 0.023217142089751938, Number of Steps: 122
Episode 185, Reward: 0.0, Mean Loss: 0.02288370367607625, Number of Steps: 122
Episode 186, Reward: 0.0, Mean Loss: 0.023126851694422704, Number of Steps: 122
Episode 187, Reward: 0.0, Mean Loss: 0.022794688359875286, Number of Steps: 122
Episode 188, Reward: 0.0, Mean Loss: 0.022794138681077682, Number of Steps: 122
Episode 189, Reward: 0.0, Mean Loss: 0.023053709439767266, Number of Steps: 122
Episode 190, Reward: 0.0, Mean Loss: 0.023175623469826667, Number of Steps: 122
Episode 191, Reward: 0.0, Mean Loss: 0.02336605061150965, Number of Steps: 122
Episode 192, Reward: 0.0, Mean Loss: 0.023055375496056275, Number of Steps: 122
Episode 193, Reward: 0.0, Mean Loss: 0.02315297366246833, Number of Steps: 122
Episode 194, Reward: 0.0, Mean Loss: 0.023258005375744868, Number of Steps: 122
Episode 195, Reward: 0.0, Mean Loss: 0.02316955601012613, Number of Steps: 122
Episode 196, Reward: 0.0, Mean Loss: 0.02319942248689839, Number of Steps: 122
Episode 197, Reward: 0.0, Mean Loss: 0.02335022881504942, Number of Steps: 122
Episode 198, Reward: 0.0, Mean Loss: 0.023522506880222775, Number of Steps: 122
Episode 199, Reward: 0.0, Mean Loss: 0.02339317338144193, Number of Steps: 122
Episode 200, Reward: 0.0, Mean Loss: 0.023084548042445887, Number of Steps: 122
Episode 201, Reward: 0.0, Mean Loss: 0.023155928577595106, Number of Steps: 122
Episode 202, Reward: 0.0, Mean Loss: 0.023088287702999193, Number of Steps: 122
Episode 203, Reward: 0.0, Mean Loss: 0.023076967767188823, Number of Steps: 122
Episode 204, Reward: 0.0, Mean Loss: 0.023030007032502908, Number of Steps: 122
Episode 205, Reward: 0.0, Mean Loss: 0.023265742834229938, Number of Steps: 122
Episode 206, Reward: 0.0, Mean Loss: 0.023145602103422938, Number of Steps: 122
Episode 207, Reward: 0.0, Mean Loss: 0.023161912676291425, Number of Steps: 122
Episode 208, Reward: 0.0, Mean Loss: 0.022952852304309195, Number of Steps: 122
Episode 209, Reward: 0.0, Mean Loss: 0.022962888266908416, Number of Steps: 122
Episode 210, Reward: 0.0, Mean Loss: 0.023041216980643976, Number of Steps: 122
Episode 211, Reward: 0.0, Mean Loss: 0.0231006575599704, Number of Steps: 122
Episode 212, Reward: 0.0, Mean Loss: 0.023051747658741316, Number of Steps: 122
Episode 213, Reward: 0.0, Mean Loss: 0.023337380609429272, Number of Steps: 122
Episode 214, Reward: 0.0, Mean Loss: 0.02316462035163508, Number of Steps: 122
Episode 215, Reward: 0.0, Mean Loss: 0.023061451157908048, Number of Steps: 122
Episode 216, Reward: 0.0, Mean Loss: 0.023274792907912224, Number of Steps: 122
Episode 217, Reward: 0.0, Mean Loss: 0.02267565640330326, Number of Steps: 122
Episode 218, Reward: 0.0, Mean Loss: 0.02301335582458586, Number of Steps: 122
Episode 219, Reward: 0.0, Mean Loss: 0.02271363842499072, Number of Steps: 122
Episode 220, Reward: 0.0, Mean Loss: 0.02305228135237932, Number of Steps: 122
Episode 221, Reward: 0.0, Mean Loss: 0.023095375632692594, Number of Steps: 122
Episode 222, Reward: 0.0, Mean Loss: 0.02316348960388883, Number of Steps: 122
Episode 223, Reward: 0.0, Mean Loss: 0.023391826230971538, Number of Steps: 122
Episode 224, Reward: 0.0, Mean Loss: 0.023033812798232366, Number of Steps: 122
Episode 225, Reward: 0.0, Mean Loss: 0.0228689562205605, Number of Steps: 122
Episode 226, Reward: 0.0, Mean Loss: 0.02330048821988653, Number of Steps: 122
Episode 227, Reward: 0.0, Mean Loss: 0.023310916360895165, Number of Steps: 122
Episode 228, Reward: 0.0, Mean Loss: 0.02348162601778253, Number of Steps: 122
Episode 229, Reward: 0.0, Mean Loss: 0.02345706998813348, Number of Steps: 122
Episode 230, Reward: 0.0, Mean Loss: 0.023398372222532014, Number of Steps: 122
Episode 231, Reward: 0.0, Mean Loss: 0.02310969391155446, Number of Steps: 122
Episode 232, Reward: 0.0, Mean Loss: 0.023378385368307105, Number of Steps: 122
Episode 233, Reward: 0.0, Mean Loss: 0.02328522995338092, Number of Steps: 122
Episode 234, Reward: 0.0, Mean Loss: 0.02299016994184654, Number of Steps: 122
