A.L.E: Arcade Learning Environment (version 0.8.1+53f58b7)
[Powered by Stella]
gpu count: 1
Total number of parameters:  1640198
Episode 76, Reward: -21.0, Mean Loss: 5.456689779671075, Number of Steps: 764
Episode 77, Reward: -21.0, Mean Loss: 5.4689677622929915, Number of Steps: 764
Episode 78, Reward: -21.0, Mean Loss: 5.471347334497262, Number of Steps: 764
Episode 79, Reward: -21.0, Mean Loss: 5.410337542988243, Number of Steps: 764
Episode 80, Reward: -21.0, Mean Loss: 5.454310207466804, Number of Steps: 764
Episode 81, Reward: -21.0, Mean Loss: 5.437273080436347, Number of Steps: 764
Episode 82, Reward: -21.0, Mean Loss: 5.4689677622929915, Number of Steps: 764
Episode 83, Reward: -21.0, Mean Loss: 5.488764583128285, Number of Steps: 764
Episode 84, Reward: -21.0, Mean Loss: 5.486004889323449, Number of Steps: 764
Episode 85, Reward: -21.0, Mean Loss: 5.461638984879898, Number of Steps: 764
Episode 86, Reward: -21.0, Mean Loss: 5.527597981597741, Number of Steps: 764
Episode 87, Reward: -21.0, Mean Loss: 5.432323875227524, Number of Steps: 764
Episode 88, Reward: -21.0, Mean Loss: 5.451930635262534, Number of Steps: 764
Episode 89, Reward: -21.0, Mean Loss: 5.476296539706086, Number of Steps: 764
Episode 90, Reward: -21.0, Mean Loss: 5.442032224844888, Number of Steps: 764
Episode 91, Reward: -21.0, Mean Loss: 5.420045892605607, Number of Steps: 764
Episode 92, Reward: -21.0, Mean Loss: 5.432323875227524, Number of Steps: 764
Episode 93, Reward: -21.0, Mean Loss: 5.412717115192513, Number of Steps: 764
Episode 94, Reward: -21.0, Mean Loss: 5.395679988162056, Number of Steps: 764
Episode 95, Reward: -21.0, Mean Loss: 5.454310207466804, Number of Steps: 764
Episode 96, Reward: -21.0, Mean Loss: 5.471347334497262, Number of Steps: 764
Episode 97, Reward: -21.0, Mean Loss: 5.488574522328002, Number of Steps: 764
Episode 98, Reward: -21.0, Mean Loss: 5.488574522328002, Number of Steps: 764
Episode 99, Reward: -21.0, Mean Loss: 5.420045892605607, Number of Steps: 764
Episode 100, Reward: -21.0, Mean Loss: 5.471537395297545, Number of Steps: 764
Episode 101, Reward: -21.0, Mean Loss: 5.495903299741096, Number of Steps: 764
Episode 102, Reward: -21.0, Mean Loss: 5.420045892605607, Number of Steps: 764
Episode 103, Reward: -21.0, Mean Loss: 5.417666320401336, Number of Steps: 764
Episode 104, Reward: -21.0, Mean Loss: 5.473916967501815, Number of Steps: 764
Episode 105, Reward: -21.0, Mean Loss: 5.434703447431794, Number of Steps: 764
Episode 106, Reward: -21.0, Mean Loss: 5.398059560366326, Number of Steps: 764
Episode 107, Reward: -21.0, Mean Loss: 5.476296539706086, Number of Steps: 764
Episode 108, Reward: -21.0, Mean Loss: 5.417666320401336, Number of Steps: 764
Episode 109, Reward: -21.0, Mean Loss: 5.439652652640618, Number of Steps: 764
Episode 110, Reward: -21.0, Mean Loss: 5.412907175992796, Number of Steps: 764
Episode 111, Reward: -21.0, Mean Loss: 5.442032224844888, Number of Steps: 764
Episode 112, Reward: -21.0, Mean Loss: 5.432323875227524, Number of Steps: 764
Episode 113, Reward: -21.0, Mean Loss: 5.456689779671075, Number of Steps: 764
Episode 114, Reward: -21.0, Mean Loss: 5.442032224844888, Number of Steps: 764
Episode 115, Reward: -21.0, Mean Loss: 5.40538833777942, Number of Steps: 764
Episode 116, Reward: -21.0, Mean Loss: 5.4691578230932745, Number of Steps: 764
Episode 117, Reward: -21.0, Mean Loss: 5.410337542988243, Number of Steps: 764
Episode 118, Reward: -21.0, Mean Loss: 5.432323875227524, Number of Steps: 764
Episode 119, Reward: -21.0, Mean Loss: 5.425185158614713, Number of Steps: 764
