A.L.E: Arcade Learning Environment (version 0.8.1+53f58b7)
[Powered by Stella]
gpu count: 1
Total number of parameters:  533
Episode 76, Reward: 0.0, Mean Loss: 7.487197664917493, Number of Steps: 122
Episode 77, Reward: 0.0, Mean Loss: 7.4864004948100105, Number of Steps: 122
Episode 78, Reward: 0.0, Mean Loss: 7.500593896772041, Number of Steps: 122
Episode 79, Reward: 0.0, Mean Loss: 7.505725137522964, Number of Steps: 122
Episode 80, Reward: 0.0, Mean Loss: 7.513463579240392, Number of Steps: 122
Episode 81, Reward: 0.0, Mean Loss: 7.484425783157349, Number of Steps: 122
Episode 82, Reward: 0.0, Mean Loss: 7.51927511418452, Number of Steps: 122
Episode 83, Reward: 0.0, Mean Loss: 7.516573495552188, Number of Steps: 122
Episode 84, Reward: 0.0, Mean Loss: 7.4995833224937565, Number of Steps: 122
Episode 85, Reward: 0.0, Mean Loss: 7.484692159246226, Number of Steps: 122
Episode 86, Reward: 0.0, Mean Loss: 7.517496280982846, Number of Steps: 122
Episode 87, Reward: 0.0, Mean Loss: 7.495995998382568, Number of Steps: 122
Episode 88, Reward: 0.0, Mean Loss: 7.484232097375588, Number of Steps: 122
Episode 89, Reward: 0.0, Mean Loss: 7.515966407588271, Number of Steps: 122
Episode 90, Reward: 0.0, Mean Loss: 7.484095757124854, Number of Steps: 122
Episode 91, Reward: 0.0, Mean Loss: 7.4879098446642764, Number of Steps: 122
Episode 92, Reward: 0.0, Mean Loss: 7.474539397192783, Number of Steps: 122
Episode 93, Reward: 0.0, Mean Loss: 7.48660457720522, Number of Steps: 122
Episode 94, Reward: 0.0, Mean Loss: 7.487337214047791, Number of Steps: 122
Episode 95, Reward: 0.0, Mean Loss: 7.518572826854518, Number of Steps: 122
Episode 96, Reward: 0.0, Mean Loss: 7.505897807293251, Number of Steps: 122
Episode 97, Reward: 0.0, Mean Loss: 7.519186262224541, Number of Steps: 122
Episode 98, Reward: 0.0, Mean Loss: 7.470609516393943, Number of Steps: 122
Episode 99, Reward: 0.0, Mean Loss: 7.5025456928816, Number of Steps: 122
Episode 100, Reward: 0.0, Mean Loss: 7.518336010760948, Number of Steps: 122
Episode 101, Reward: 0.0, Mean Loss: 7.486406005796839, Number of Steps: 122
Episode 102, Reward: 0.0, Mean Loss: 7.513705175431048, Number of Steps: 122
Episode 103, Reward: 0.0, Mean Loss: 7.502926724856017, Number of Steps: 122
Episode 104, Reward: 0.0, Mean Loss: 7.517610569469264, Number of Steps: 122
Episode 105, Reward: 0.0, Mean Loss: 7.515997589611616, Number of Steps: 122
Episode 106, Reward: 0.0, Mean Loss: 7.503561481100614, Number of Steps: 122
Episode 107, Reward: 0.0, Mean Loss: 7.4859040643348065, Number of Steps: 122
Episode 108, Reward: 0.0, Mean Loss: 7.503424671829724, Number of Steps: 122
Episode 109, Reward: 0.0, Mean Loss: 7.519256572254369, Number of Steps: 122
Episode 110, Reward: 0.0, Mean Loss: 7.516823268327557, Number of Steps: 122
Episode 111, Reward: 0.0, Mean Loss: 7.502640497489054, Number of Steps: 122
Episode 112, Reward: 0.0, Mean Loss: 7.515305323678939, Number of Steps: 122
Episode 113, Reward: 0.0, Mean Loss: 7.4897574323122615, Number of Steps: 122
Episode 114, Reward: 0.0, Mean Loss: 7.519806302961756, Number of Steps: 122
Episode 115, Reward: 0.0, Mean Loss: 7.515089996525498, Number of Steps: 122
Episode 116, Reward: 0.0, Mean Loss: 7.504112517247434, Number of Steps: 122
Episode 117, Reward: 0.0, Mean Loss: 7.503623837330302, Number of Steps: 122
Episode 118, Reward: 0.0, Mean Loss: 7.517933200617305, Number of Steps: 122
Episode 119, Reward: 0.0, Mean Loss: 7.518103732437384, Number of Steps: 122
Episode 120, Reward: 0.0, Mean Loss: 7.514333513916516, Number of Steps: 122
Episode 121, Reward: 0.0, Mean Loss: 7.473834006512751, Number of Steps: 122
Episode 122, Reward: 0.0, Mean Loss: 7.487267509835665, Number of Steps: 122
Episode 123, Reward: 0.0, Mean Loss: 7.512545628625839, Number of Steps: 122
Episode 124, Reward: 0.0, Mean Loss: 7.4834420641914745, Number of Steps: 122
Episode 125, Reward: 0.0, Mean Loss: 7.502684522847661, Number of Steps: 122
Episode 126, Reward: 0.0, Mean Loss: 7.488022472037644, Number of Steps: 122
Episode 127, Reward: 0.0, Mean Loss: 7.5000449321309075, Number of Steps: 122
Episode 128, Reward: 0.0, Mean Loss: 7.47200180272587, Number of Steps: 122
Episode 129, Reward: 0.0, Mean Loss: 7.515127807367043, Number of Steps: 122
Episode 130, Reward: 0.0, Mean Loss: 7.501407627199517, Number of Steps: 122
Episode 131, Reward: 0.0, Mean Loss: 7.515602705908603, Number of Steps: 122
Episode 132, Reward: 0.0, Mean Loss: 7.509608131940247, Number of Steps: 122
Episode 133, Reward: 0.0, Mean Loss: 7.501514380095435, Number of Steps: 122
Episode 134, Reward: 0.0, Mean Loss: 7.488948255288796, Number of Steps: 122
Episode 135, Reward: 0.0, Mean Loss: 7.513537340476865, Number of Steps: 122
Episode 136, Reward: 0.0, Mean Loss: 7.505172600511645, Number of Steps: 122
Episode 137, Reward: 0.0, Mean Loss: 7.501036608805422, Number of Steps: 122
Episode 138, Reward: 0.0, Mean Loss: 7.4887944010437515, Number of Steps: 122
Episode 139, Reward: 0.0, Mean Loss: 7.499592124438677, Number of Steps: 122
Episode 140, Reward: 0.0, Mean Loss: 7.470016897701826, Number of Steps: 122
Episode 141, Reward: 0.0, Mean Loss: 7.473024946744324, Number of Steps: 122
Episode 142, Reward: 0.0, Mean Loss: 7.503603763267642, Number of Steps: 122
Episode 143, Reward: 0.0, Mean Loss: 7.514852922470843, Number of Steps: 122
Episode 144, Reward: 0.0, Mean Loss: 7.505463885479286, Number of Steps: 122
Episode 145, Reward: 0.0, Mean Loss: 7.516886277276962, Number of Steps: 122
Episode 146, Reward: 0.0, Mean Loss: 7.513282850140431, Number of Steps: 122
Episode 147, Reward: 0.0, Mean Loss: 7.517945356056338, Number of Steps: 122
Episode 148, Reward: 0.0, Mean Loss: 7.5046494749725845, Number of Steps: 122
Episode 149, Reward: 0.0, Mean Loss: 7.4914319827908376, Number of Steps: 122
Episode 150, Reward: 0.0, Mean Loss: 7.504835832314413, Number of Steps: 122
Episode 151, Reward: 0.0, Mean Loss: 7.488071449467393, Number of Steps: 122
Episode 152, Reward: 0.0, Mean Loss: 7.5031900796733915, Number of Steps: 122
Episode 153, Reward: 0.0, Mean Loss: 7.509690437160555, Number of Steps: 122
Episode 154, Reward: 0.0, Mean Loss: 7.488639726013433, Number of Steps: 122
Episode 155, Reward: 0.0, Mean Loss: 7.51778477137206, Number of Steps: 122
Episode 156, Reward: 0.0, Mean Loss: 7.513255686056419, Number of Steps: 122
Episode 157, Reward: 0.0, Mean Loss: 7.502718300115867, Number of Steps: 122
Episode 158, Reward: 0.0, Mean Loss: 7.516034802452463, Number of Steps: 122
Episode 159, Reward: 0.0, Mean Loss: 7.492404347560445, Number of Steps: 122
Episode 160, Reward: 0.0, Mean Loss: 7.514801072292641, Number of Steps: 122
Episode 161, Reward: 0.0, Mean Loss: 7.501554195998145, Number of Steps: 122
Episode 162, Reward: 0.0, Mean Loss: 7.517469660180514, Number of Steps: 122
Episode 163, Reward: 0.0, Mean Loss: 7.489375833605156, Number of Steps: 122
Episode 164, Reward: 0.0, Mean Loss: 7.51343319064281, Number of Steps: 122
Episode 165, Reward: 0.0, Mean Loss: 7.515774593978632, Number of Steps: 122
Episode 166, Reward: 0.0, Mean Loss: 7.471248724421517, Number of Steps: 122
Episode 167, Reward: 0.0, Mean Loss: 7.518828122342219, Number of Steps: 122
Episode 168, Reward: 0.0, Mean Loss: 7.4967065990948285, Number of Steps: 122
Episode 169, Reward: 0.0, Mean Loss: 7.514705939371078, Number of Steps: 122
Episode 170, Reward: 0.0, Mean Loss: 7.516212580633945, Number of Steps: 122
Episode 171, Reward: 0.0, Mean Loss: 7.500890247157363, Number of Steps: 122
Episode 172, Reward: 0.0, Mean Loss: 7.519414592961796, Number of Steps: 122
Episode 173, Reward: 0.0, Mean Loss: 7.499290868884227, Number of Steps: 122
Episode 174, Reward: 0.0, Mean Loss: 7.474564685196173, Number of Steps: 122
Episode 175, Reward: 0.0, Mean Loss: 7.505253127363861, Number of Steps: 122
Episode 176, Reward: 0.0, Mean Loss: 7.515210636326524, Number of Steps: 122
Episode 177, Reward: 0.0, Mean Loss: 7.472489157661062, Number of Steps: 122
Episode 178, Reward: 0.0, Mean Loss: 7.500196945471842, Number of Steps: 122
Episode 179, Reward: 0.0, Mean Loss: 7.512575169078639, Number of Steps: 122
Episode 180, Reward: 0.0, Mean Loss: 7.503602203775625, Number of Steps: 122
Episode 181, Reward: 0.0, Mean Loss: 7.513904028251523, Number of Steps: 122
Episode 182, Reward: 0.0, Mean Loss: 7.5194714772896685, Number of Steps: 122
Episode 183, Reward: 0.0, Mean Loss: 7.516605052791658, Number of Steps: 122
